[2026-05-13 12:19:34] [INFO] [::1] Request route: home | Remote IP: ::1
[2026-05-13 12:19:36] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:19:40] [INFO] [::1] Request route: search | Remote IP: ::1
[2026-05-13 12:19:40] [INFO] [::1] Request route: uploads/sapa.jpg | Remote IP: ::1
[2026-05-13 12:19:40] [INFO] [::1] Request route: uploads/danang.jpg | Remote IP: ::1
[2026-05-13 12:19:40] [INFO] [::1] Request route: uploads/dalat.jpg | Remote IP: ::1
[2026-05-13 12:19:41] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:19:46] [INFO] [::1] Request route: home | Remote IP: ::1
[2026-05-13 12:19:47] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:19:49] [INFO] [::1] Request route: profile | Remote IP: ::1
[2026-05-13 12:19:49] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:19:53] [INFO] [::1] Request route: search | Remote IP: ::1
[2026-05-13 12:19:53] [INFO] [::1] Request route: uploads/sapa.jpg | Remote IP: ::1
[2026-05-13 12:19:53] [INFO] [::1] Request route: uploads/dalat.jpg | Remote IP: ::1
[2026-05-13 12:19:53] [INFO] [::1] Request route: uploads/danang.jpg | Remote IP: ::1
[2026-05-13 12:19:54] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:19:56] [INFO] [::1] Request route: home | Remote IP: ::1
[2026-05-13 12:19:56] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:19:59] [INFO] [::1] Request route: tour | Remote IP: ::1
[2026-05-13 12:19:59] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:05] [INFO] [::1] Request route: payment | Remote IP: ::1
[2026-05-13 12:20:05] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:10] [INFO] [::1] Request route: tour | Remote IP: ::1
[2026-05-13 12:20:10] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:12] [INFO] [::1] Request route: home | Remote IP: ::1
[2026-05-13 12:20:13] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:15] [INFO] [::1] Request route: profile | Remote IP: ::1
[2026-05-13 12:20:15] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:21] [INFO] [::1] Request route: profile/update | Remote IP: ::1
[2026-05-13 12:20:21] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:30] [INFO] [::1] Request route: profile | Remote IP: ::1
[2026-05-13 12:20:30] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:31] [INFO] [::1] Request route: profile/changePassword | Remote IP: ::1
[2026-05-13 12:20:32] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:34] [INFO] [::1] Request route: profile | Remote IP: ::1
[2026-05-13 12:20:34] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:35] [INFO] [::1] Request route: profile/paymentInfo | Remote IP: ::1
[2026-05-13 12:20:36] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:38] [INFO] [::1] Request route: profile | Remote IP: ::1
[2026-05-13 12:20:38] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:41] [INFO] [::1] Request route: home | Remote IP: ::1
[2026-05-13 12:20:42] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:43] [INFO] [::1] Request route: logout | Remote IP: ::1
[2026-05-13 12:20:43] [INFO] [::1] User logged out: admin2
[2026-05-13 12:20:43] [INFO] [::1] Request route: home | Remote IP: ::1
[2026-05-13 12:20:44] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:45] [INFO] [::1] Request route: login | Remote IP: ::1
[2026-05-13 12:20:45] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:50] [INFO] [::1] Request route: login | Remote IP: ::1
[2026-05-13 12:20:50] [INFO] [::1] Admin logged in: admin2
[2026-05-13 12:20:50] [INFO] [::1] Request route: admin | Remote IP: ::1
[2026-05-13 12:20:51] [INFO] [::1] Request route: favicon.ico | Remote IP: ::1
[2026-05-13 12:20:53] [INFO] [::1] Request route: admin/users | Remote IP: ::1
